I lose.|I lost.
You shouldn't have go there.|You shouldn't have gone there.
You think I do it, don't you?|You think I did it, don't you?
You use to smoke, didn't you?|You used to smoke, didn't you?
You be jealous, ben't you?|You were jealous, weren't you?
You be just doing your duty.|You were just doing your duty.
You ben't serious, be you?|You weren't serious, were you?
You will need an arm escort.|You will need an armed escort.
You'd better do what Tom say.|You'd better do what Tom says.
You're do an excellent job.|You're doing an excellent job.
You're go to have to leave.|You're going to have to leave.
You're go to love our food.|You're going to love our food.
You're home early, ben't you?|You're home early, aren't you?
You're mess with me, right?|You're messing with me, right?
You're not aim high enough.|You're not aiming high enough.
You're not one of us, be you?|You're not one of us, are you?
You're not ready yet, be you?|You're not ready yet, are you?
You're not satisfied, be you?|You're not satisfied, are you?
You're preach to the choir.|You're preaching to the choir.
You're respect by everybody.|You're respected by everybody.
You're suppose to be resting.|You're supposed to be resting.
You're the one who train me.|You're the one who trained me.
You've be busy, haven't you?|You've been busy, haven't you?
You've get a big day tomorrow.|You've got a big day tomorrow.
You've get your permit, right?|You've got your permit, right?
You've often say so yourself.|You've often said so yourself.
You've really help me a lot.|You've really helped me a lot.
Your approval be not required.|Your approval is not required.
Your behavior be disgraceful.|Your behavior was disgraceful.
Your behavior be inexcusable.|Your behavior was inexcusable.
Your bike be better than mine.|Your bike is better than mine.
Your birthday be drawing near.|Your birthday is drawing near.
Your demands be unreasonable.|Your demands are unreasonable.
Your guess be as good as mine.|Your guess is as good as mine.
Your new dress be very pretty.|Your new dress is very pretty.
Your objection have been noted.|Your objection has been noted.
Your story be hard to believe.|Your story is hard to believe.
Your team be better than ours.|Your team is better than ours.
Your telephone's ring, Tom.|Your telephone's ringing, Tom.
What time be it?|What time is it?
he wonder.|he wondered.
Yes, I be, said the student.|Yes, I was, said the student.
A bad habit be easily acquired.|A bad habit is easily acquired.
A bad smell permeate the room.|A bad smell permeated the room.
A bow be no use without arrows.|A bow is no use without arrows.
A catastrophe have been averted.|A catastrophe has been averted.
A century be one hundred years.|A century is one hundred years.
A dairy cow be a useful animal.|A dairy cow is a useful animal.
A dog follow me to my school.|A dog followed me to my school.
A fall tree blocked the path.|A fallen tree blocked the path.
A fish leap out of the water.|A fish leaped out of the water.
A lot still remains to be do.|A lot still remains to be done.
A man call on you last night.|A man called on you last night.
A man come to see me yesterday.|A man came to see me yesterday.
A new dress be bought for her.|A new dress was bought for her.
A pretty waitress wait on us.|A pretty waitress waited on us.
A red dress make her stand out.|A red dress made her stand out.
A strange feel came over me.|A strange feeling came over me.
A stranger phone me yesterday.|A stranger phoned me yesterday.
A typhoon be approaching Japan.|A typhoon is approaching Japan.
Admbesion be free for children.|Admission is free for children.
All Tom do nowadays is study.|All Tom does nowadays is study.
All of them be wearing black.|All of them were wearing black.
All our members be volunteers.|All our members are volunteers.
All the parking lots be full.|All the parking lots were full.
All the players do their best.|All the players did their best.
All the stones have be moved.|All the stones have been moved.
All their efforts be in vain.|All their efforts were in vain.
All you do be criticize others.|All you do is criticize others.
An elephant be a strong animal.|An elephant is a strong animal.
An ugly man knock on my door.|An ugly man knocked on my door.
Any input would be appreciate!|Any input would be appreciated!
Are you afraid of get hurt?|Are you afraid of getting hurt?
Are you do anything special?|Are you doing anything special?
Are you go away this summer?|Are you going away this summer?
Are you go to come visit me?|Are you going to come visit me?
Are you listen to me at all?|Are you listening to me at all?
Are you listen to the radio?|Are you listening to the radio?
Are you say that I'm a liar?|Are you saying that I'm a liar?
Are you say that's not true?|Are you saying that's not true?
Are you the one who write this?|Are you the one who wrote this?
Are you try to grow a beard?|Are you trying to grow a beard?
Are you two go out together?|Are you two going out together?
Aren't you sick of eat here?|Aren't you sick of eating here?
As far as I know, he be honest.|As far as I know, he is honest.
At last, he realize his error.|At last, he realized his error.
At last, he solve the problem.|At last, he solved the problem.
At last, my wish have come true.|At last, my wish has come true.
At last, we reach California.|At last, we reached California.
At last, we reach the summit.|At last, we reached the summit.
Automobiles replace carriages.|Automobiles replaced carriages.
Be careful cross the street.|Be careful crossing the street.
Beautiful stain glass is art.|Beautiful stained glass is art.
Beer bottles be made of glass.|Beer bottles are made of glass.
Beethoven be a great musician.|Beethoven was a great musician.
Blood pour from the cut vein.|Blood poured from the cut vein.
Both Tom and Mary be teachers.|Both Tom and Mary are teachers.
Both of my sisters be married.|Both of my sisters are married.
Bring it back when you're do.|Bring it back when you're done.
Business be so slow these days.|Business is so slow these days.
By the way, where be you from?|By the way, where are you from?
By the way, where do he live?|By the way, where does he live?
Can we quit talk about this?|Can we quit talking about this?
Can you come on Sunday even?|Can you come on Sunday evening?
Can you prove Tom don't do it?|Can you prove Tom didn't do it?
Can't you guess what I'm do?|Can't you guess what I'm doing?
Check out what I've be up to.|Check out what I've been up to.
Children should not be spoil.|Children should not be spoiled.
Chrbetmas Day be December 25th.|Christmas Day is December 25th.
Chrbetmas be a special holiday.|Christmas is a special holiday.
Cookie's mother die of cancer.|Cookie's mother died of cancer.
Dark clouds be a sign of rain.|Dark clouds are a sign of rain.
Did he admit that he be wrong?|Did he admit that he was wrong?
Dinosaurs once rule the earth.|Dinosaurs once ruled the earth.
Do whatever you think be right.|Do whatever you think is right.
Do you believe Tom be innocent?|Do you believe Tom is innocent?
Do you enjoy work from home?|Do you enjoy working from home?
Do you know where Tom be going?|Do you know where Tom is going?
